league,window,team_id,team_name,team_country,player_id,player_name,player_age,player_nation,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan
Premier League,s,1132,Burnley FC,England,453661,Jacob Bedeau,21,England,CB,2964,Scunthorpe United,England,0.00,450000,TRUE,FALSE
Premier League,s,631,Chelsea FC,England,96341,Romelu Lukaku,28,Belgium,CF,46,Inter Milan,Italy,115000000.00,100000000,FALSE,FALSE
Premier League,s,631,Chelsea FC,England,148928,Saúl Ñíguez,26,Spain,CM,13,Atlético de Madrid,Spain,5000000.00,40000000,FALSE,TRUE
Premier League,s,631,Chelsea FC,England,116648,Marcus Bettinelli,29,England,GK,931,Fulham FC,England,0.00,2500000,TRUE,FALSE
Premier League,s,631,Chelsea FC,England,346314,Trevoh Chalobah,21,England,CB,9250,Chelsea FC U23,England,,10000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,392757,Marc Guehi,21,England,CB,9250,Chelsea FC U23,England,23340000.00,20000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,260827,Joachim Andersen,25,Denmark,CB,1041,Olympique Lyon,France,17500000.00,22000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,344152,Odsonne Edouard,23,France,CF,371,Celtic FC,Scotland,16300000.00,17000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,566723,Michael Olise,19,France,AM,1032,Reading FC,England,9300000.00,15000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,207014,Will Hughes,26,England,CM,1010,Watford FC,England,7000000.00,7000000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,196722,Remi Matthews,27,England,GK,289,Sunderland AFC,England,0.00,300000,TRUE,FALSE
Premier League,s,873,Crystal Palace,England,497494,Jacob Montes,22,United States,AM,626,New England Revolution,United States,,150000,FALSE,FALSE
Premier League,s,873,Crystal Palace,England,488362,Conor Gallagher,21,England,CM,9250,Chelsea FC U23,England,,15000000,FALSE,TRUE
Premier League,s,29,Everton FC,England,292417,Demarai Gray,25,England,LW,15,Bayer 04 Leverkusen,Germany,2000000.00,15000000,FALSE,FALSE
Premier League,s,29,Everton FC,England,80197,Salomón Rondón,31,Venezuela,CF,33304,Dalian Professional,China,0.00,5000000,TRUE,FALSE
Premier League,s,29,Everton FC,England,33873,Asmir Begovic,34,Bosnia-Herzegovina,GK,989,AFC Bournemouth,England,0.00,1200000,TRUE,FALSE
Premier League,s,29,Everton FC,England,61842,Andros Townsend,30,England,RW,873,Crystal Palace,England,0.00,7000000,TRUE,FALSE
Premier League,s,29,Everton FC,England,14044,Andy Lonergan,37,England,GK,984,West Bromwich Albion,England,0.00,250000,TRUE,FALSE
Premier League,s,399,Leeds United,England,319301,Daniel James,23,Wales,LW,985,Manchester United,England,29100000.00,18000000,FALSE,FALSE
Premier League,s,399,Leeds United,England,374139,Junior Firpo,24,Dominican Republic,LB,131,FC Barcelona,Spain,15000000.00,12000000,FALSE,FALSE
Premier League,s,399,Leeds United,England,417346,Jack Harrison,24,England,LW,281,Manchester City,England,12800000.00,15000000,FALSE,FALSE
Premier League,s,399,Leeds United,England,418561,Kristoffer Klaesson,20,Norway,GK,76,Vålerenga Fotball,Norway,2000000.00,2000000,FALSE,FALSE
Premier League,s,399,Leeds United,England,474701,Crysencio Summerville,19,Netherlands,RW,20116,Leeds United U23,England,,1500000,FALSE,FALSE
Premier League,s,1003,Leicester City,England,365172,Patson Daka,22,Zambia,CF,409,Red Bull Salzburg,Austria,30000000.00,22000000,FALSE,FALSE
Premier League,s,1003,Leicester City,England,344605,Boubakary Soumaré,22,France,DM,1082,LOSC Lille,France,20000000.00,28000000,FALSE,FALSE
Premier League,s,1003,Leicester City,England,99331,Jannik Vestergaard,29,Denmark,CB,180,Southampton FC,England,17600000.00,18000000,FALSE,FALSE
Premier League,s,1003,Leicester City,England,40611,Ryan Bertrand,31,England,LB,180,Southampton FC,England,0.00,8000000,TRUE,FALSE
Premier League,s,1003,Leicester City,England,406040,Ademola Lookman,23,England,LW,23826,RB Leipzig,Germany,,11000000,FALSE,TRUE
Premier League,s,1003,Leicester City,England,475188,Kiernan Dewsbury-Hall,22,England,DM,39341,Leicester City U23,England,,2000000,FALSE,FALSE
Premier League,s,31,Liverpool FC,England,357119,Ibrahima Konaté,22,France,CB,23826,RB Leipzig,Germany,40000000.00,35000000,FALSE,FALSE
Premier League,s,31,Liverpool FC,England,565822,Harvey Elliott,18,England,RW,9252,Liverpool FC U23,England,,15000000,FALSE,FALSE
Premier League,s,281,Manchester City,England,203460,Jack Grealish,25,England,LW,405,Aston Villa,England,117500000.00,100000000,FALSE,FALSE
Premier League,s,281,Manchester City,England,668265,Kayky,18,Brazil,RW,2462,Fluminense Football Club,Brazil,10000000.00,14000000,FALSE,FALSE
Premier League,s,281,Manchester City,England,14555,Scott Carson,35,England,GK,22,Derby County,England,0.00,300000,TRUE,FALSE
Premier League,s,281,Manchester City,England,568177,Cole Palmer,19,England,AM,9265,Manchester City U23,England,,500000,FALSE,FALSE
Premier League,s,985,Manchester United,England,401173,Jadon Sancho,21,England,LW,16,Borussia Dortmund,Germany,85000000.00,90000000,FALSE,FALSE
Premier League,s,985,Manchester United,England,164770,Raphaël Varane,28,France,CB,418,Real Madrid,Spain,40000000.00,70000000,FALSE,FALSE
Premier League,s,985,Manchester United,England,8198,Cristiano Ronaldo,36,Portugal,CF,506,Juventus FC,Italy,15000000.00,45000000,FALSE,FALSE
Premier League,s,985,Manchester United,England,34130,Tom Heaton,35,England,GK,405,Aston Villa,England,0.00,1000000,TRUE,FALSE
Premier League,s,762,Newcastle United,England,340329,Joe Willock,21,England,CM,11,Arsenal FC,England,29400000.00,22000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,291739,Milot Rashica,25,Kosovo,RW,86,SV Werder Bremen,Germany,11000000.00,9000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,451677,Christos Tzolis,19,Greece,LW,1091,PAOK Thessaloniki,Greece,11000000.00,12000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,393325,Josh Sargent,21,United States,CF,86,SV Werder Bremen,Germany,9500000.00,8000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,128904,Ben Gibson,28,England,CB,1132,Burnley FC,England,9300000.00,7000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,295630,Dimitrios Giannoulis,25,Greece,LB,1091,PAOK Thessaloniki,Greece,7500000.00,7000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,377393,Pierre Lees-Melou,28,France,CM,417,OGC Nice,France,6000000.00,7000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,201574,Angus Gunn,25,England,GK,180,Southampton FC,England,5850000.00,3000000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,361260,Ozan Kabak,21,Turkey,CB,33,FC Schalke 04,Germany,4000000.00,17000000,FALSE,TRUE
Premier League,s,1123,Norwich City,England,257805,Mathias Normann,25,Norway,DM,1083,FK Rostov,Russia,2000000.00,13000000,FALSE,TRUE
Premier League,s,1123,Norwich City,England,677939,Flynn Clarke,18,Scotland,AM,1072,Peterborough United,England,,100000,FALSE,FALSE
Premier League,s,1123,Norwich City,England,507700,Brandon Williams,20,England,LB,985,Manchester United,England,,10000000,FALSE,TRUE
Premier League,s,1123,Norwich City,England,423744,Billy Gilmour,20,Scotland,CM,631,Chelsea FC,England,,15000000,FALSE,TRUE
Premier League,s,180,Southampton FC,England,250426,Adam Armstrong,24,England,CF,164,Blackburn Rovers,England,17700000.00,18000000,FALSE,FALSE
Premier League,s,180,Southampton FC,England,318523,Romain Perraud,23,France,LB,3911,Stade Brestois 29,France,12000000.00,10000000,FALSE,FALSE
Premier League,s,180,Southampton FC,England,379807,Lyanco,24,Brazil,CB,416,Torino FC,Italy,7500000.00,5000000,FALSE,FALSE
Premier League,s,180,Southampton FC,England,503981,Valentino Livramento,18,England,RB,9250,Chelsea FC U23,England,5900000.00,12000000,FALSE,FALSE
Premier League,s,180,Southampton FC,England,33713,Theo Walcott,32,England,RW,29,Everton FC,England,0.00,5000000,TRUE,FALSE
Premier League,s,180,Southampton FC,England,571743,Armando Broja,19,Albania,CF,9250,Chelsea FC U23,England,,3000000,FALSE,TRUE
Premier League,s,148,Tottenham Hotspur,England,476344,Emerson Royal,22,Brazil,RB,131,FC Barcelona,Spain,25000000.00,25000000,FALSE,FALSE
Premier League,s,148,Tottenham Hotspur,England,537382,Bryan Gil,20,Spain,LW,368,Sevilla FC,Spain,25000000.00,30000000,FALSE,FALSE
Premier League,s,148,Tottenham Hotspur,England,568693,Pape Sarr,18,Senegal,DM,347,FC Metz,France,16900000.00,20000000,FALSE,FALSE
Premier League,s,148,Tottenham Hotspur,England,355915,Cristian Romero,23,Argentina,CB,800,Atalanta BC,Italy,,35000000,FALSE,TRUE
Premier League,s,148,Tottenham Hotspur,England,244192,Pierluigi Gollini,26,Italy,GK,800,Atalanta BC,Italy,,15000000,FALSE,TRUE
Premier League,s,1010,Watford FC,England,635336,Imrân Louza,22,Morocco,CM,995,FC Nantes,France,10000000.00,12000000,FALSE,FALSE
Premier League,s,1010,Watford FC,England,448854,Emmanuel Dennis,23,Nigeria,CF,2282,Club Brugge KV,Belgium,4000000.00,5000000,FALSE,FALSE
Premier League,s,1010,Watford FC,England,46001,Moussa Sissoko,32,France,CM,148,Tottenham Hotspur,England,3500000.00,10000000,FALSE,FALSE
Premier League,s,1010,Watford FC,England,236471,Ozan Tufan,26,Turkey,CM,36,Fenerbahce SK,Turkey,1000000.00,11000000,FALSE,TRUE
Premier League,s,1010,Watford FC,England,624948,Mattie Pollock,19,England,CB,1034,Grimsby Town,England,300000.00,250000,FALSE,FALSE
Premier League,s,1010,Watford FC,England,91059,Joshua King,29,Norway,SS,29,Everton FC,England,0.00,8000000,TRUE,FALSE
Premier League,s,1010,Watford FC,England,289846,Ashley Fletcher,25,England,CF,641,Middlesbrough FC,England,0.00,3000000,TRUE,FALSE
Premier League,s,1010,Watford FC,England,50174,Danny Rose,30,England,LB,148,Tottenham Hotspur,England,0.00,3000000,TRUE,FALSE
Premier League,s,1010,Watford FC,England,711247,Kwadwo Baah,18,Germany,LW,1088,Rochdale AFC,England,0.00,800000,TRUE,FALSE
Premier League,s,1010,Watford FC,England,409106,Peter Etebo,25,Nigeria,CM,512,Stoke City,England,,3200000,FALSE,TRUE
Premier League,s,1010,Watford FC,England,74943,Juraj Kucka,34,Slovakia,CM,130,Parma Calcio 1913,Italy,,3000000,FALSE,TRUE
Premier League,s,1010,Watford FC,England,60577,Nicolas N'Koulou,31,Cameroon,CB,515,Without Club,Without Club,,5000000,FALSE,FALSE
Premier League,s,379,West Ham United,England,157509,Kurt Zouma,26,France,CB,631,Chelsea FC,England,35000000.00,32000000,FALSE,FALSE
Premier League,s,379,West Ham United,England,293200,Nikola Vlasic,23,Croatia,AM,2410,CSKA Moscow,Russia,30000000.00,30000000,FALSE,FALSE
Premier League,s,379,West Ham United,England,337333,Alex Kral,23,Czech Republic,DM,232,Spartak Moscow,Russia,5200000.00,10000000,FALSE,TRUE
Premier League,s,379,West Ham United,England,121477,Craig Dawson,31,England,CB,1010,Watford FC,England,2300000.00,3000000,FALSE,FALSE
Premier League,s,379,West Ham United,England,120629,Alphonse Areola,28,France,GK,583,Paris Saint-Germain,France,2000000.00,14000000,FALSE,TRUE
Premier League,s,379,West Ham United,England,419025,Conor Coventry,21,Ireland,DM,9267,West Ham United U23,England,,200000,FALSE,FALSE
Premier League,s,543,Wolverhampton Wanderers,England,578391,Rayan Aït Nouri,20,France,LB,1420,SCO Angers,France,11100000.00,18000000,FALSE,FALSE
Premier League,s,543,Wolverhampton Wanderers,England,249994,José Sá,28,Portugal,GK,683,Olympiacos Piraeus,Greece,8000000.00,7500000,FALSE,FALSE
Premier League,s,543,Wolverhampton Wanderers,England,412669,Francisco Trincão,21,Portugal,RW,131,FC Barcelona,Spain,6000000.00,22000000,FALSE,TRUE
Premier League,s,543,Wolverhampton Wanderers,England,716276,Yerson Mosquera,20,Colombia,CB,8172,Atlético Nacional,Colombia,5200000.00,1700000,FALSE,FALSE
Premier League,s,543,Wolverhampton Wanderers,England,439351,Bendegúz Bolla,21,Hungary,RB,11107,MOL Fehérvár FC,Hungary,2000000.00,1000000,FALSE,FALSE
Premier League,s,543,Wolverhampton Wanderers,England,292246,Hee-chan Hwang,25,"Korea, South",CF,23826,RB Leipzig,Germany,,11000000,FALSE,TRUE
Premier League,w,1010,Watford FC,England,340353,Maduka Okoye,22,Nigeria,GK,468,Sparta Rotterdam,Netherlands,7000000.00,1000000,FALSE,FALSE
La Liga,s,13,Atlético de Madrid,Spain,255901,Rodrigo de Paul,27,Argentina,CM,410,Udinese Calcio,Italy,35000000.00,40000000,FALSE,FALSE
La Liga,s,13,Atlético de Madrid,Spain,517894,Matheus Cunha,22,Brazil,CF,44,Hertha BSC,Germany,26000000.00,30000000,FALSE,FALSE
La Liga,s,13,Atlético de Madrid,Spain,125781,Antoine Griezmann,30,France,SS,131,FC Barcelona,Spain,10000000.00,50000000,FALSE,TRUE
La Liga,s,13,Atlético de Madrid,Spain,612496,Marcos Paulo,20,Portugal,LW,2462,Fluminense Football Club,Brazil,0.00,9000000,TRUE,FALSE
La Liga,s,13,Atlético de Madrid,Spain,127181,Benjamin Lecomte,30,France,GK,162,AS Monaco,France,,9000000,FALSE,TRUE
La Liga,s,131,FC Barcelona,Spain,476344,Emerson Royal,22,Brazil,RB,150,Real Betis Balompié,Spain,14000000.00,25000000,FALSE,FALSE
La Liga,s,131,FC Barcelona,Spain,548031,Yusuf Demir,18,Austria,RW,170,Rapid Vienna,Austria,500000.00,12000000,FALSE,TRUE
La Liga,s,131,FC Barcelona,Spain,26399,Sergio Agüero,33,Argentina,CF,281,Manchester City,England,0.00,,TRUE,FALSE
La Liga,s,131,FC Barcelona,Spain,466794,Eric García,20,Spain,CB,281,Manchester City,England,0.00,20000000,TRUE,FALSE
La Liga,s,131,FC Barcelona,Spain,167850,Memphis Depay,27,Netherlands,CF,1041,Olympique Lyon,France,0.00,45000000,TRUE,FALSE
La Liga,s,131,FC Barcelona,Spain,72522,Luuk de Jong,31,Netherlands,CF,368,Sevilla FC,Spain,,7500000,FALSE,TRUE
La Liga,s,131,FC Barcelona,Spain,466805,Nico González,19,Spain,DM,2464,FC Barcelona B,Spain,,8000000,FALSE,FALSE
La Liga,s,131,FC Barcelona,Spain,646740,Gavi,16,Spain,CM,2470,FC Barcelona U19,Spain,,25000000,FALSE,FALSE
La Liga,s,131,FC Barcelona,Spain,282722,Álex Collado,22,Spain,RW,2464,FC Barcelona B,Spain,,4000000,FALSE,FALSE
La Liga,s,131,FC Barcelona,Spain,283170,Iñaki Peña,22,Spain,GK,2464,FC Barcelona B,Spain,,3000000,FALSE,FALSE
La Liga,s,418,Real Madrid,Spain,640428,Eduardo Camavinga,18,France,CM,273,Stade Rennais FC,France,31000000.00,55000000,FALSE,FALSE
La Liga,s,418,Real Madrid,Spain,59016,David Alaba,29,Austria,CB,27,Bayern Munich,Germany,0.00,55000000,TRUE,FALSE
La Liga,s,418,Real Madrid,Spain,525299,Miguel Gutiérrez,19,Spain,LB,6767,Real Madrid Castilla,Spain,,10000000,FALSE,FALSE
La Liga,s,368,Sevilla FC,Spain,361254,Rafa Mir,24,Spain,CF,543,Wolverhampton Wanderers,England,16000000.00,16000000,FALSE,FALSE
La Liga,s,368,Sevilla FC,Spain,402733,Gonzalo Montiel,24,Argentina,RB,209,Club Atlético River Plate,Argentina,11000000.00,17000000,FALSE,FALSE
La Liga,s,368,Sevilla FC,Spain,91849,Thomas Delaney,29,Denmark,DM,16,Borussia Dortmund,Germany,6000000.00,9000000,FALSE,FALSE
La Liga,s,368,Sevilla FC,Spain,170646,Ludwig Augustinsson,27,Sweden,LB,86,SV Werder Bremen,Germany,5500000.00,7500000,FALSE,FALSE
La Liga,s,368,Sevilla FC,Spain,111630,Erik Lamela,29,Argentina,RW,148,Tottenham Hotspur,England,0.00,20000000,TRUE,FALSE
La Liga,s,368,Sevilla FC,Spain,94308,Marko Dmitrovic,29,Serbia,GK,1533,SD Eibar,Spain,0.00,8000000,TRUE,FALSE
La Liga,s,681,Real Sociedad,Spain,238407,Alexander Sörloth,25,Norway,CF,23826,RB Leipzig,Germany,2000000.00,16000000,FALSE,TRUE
La Liga,s,681,Real Sociedad,Spain,249513,Diego Rico,28,Spain,LB,989,AFC Bournemouth,England,500000.00,2000000,FALSE,FALSE
La Liga,s,681,Real Sociedad,Spain,128969,Mathew Ryan,29,Australia,GK,1237,Brighton & Hove Albion,England,,6000000,FALSE,FALSE
La Liga,s,681,Real Sociedad,Spain,563137,Robert Navarro,19,Spain,AM,9899,Real Sociedad B,Spain,,3000000,FALSE,FALSE
La Liga,s,1050,Villarreal CF,Spain,355861,Arnaut Danjuma,24,Netherlands,LW,989,AFC Bournemouth,England,23500000.00,25000000,FALSE,FALSE
La Liga,s,1050,Villarreal CF,Spain,480763,Juan Foyth,23,Argentina,CB,148,Tottenham Hotspur,England,15000000.00,15000000,FALSE,FALSE
La Liga,s,1050,Villarreal CF,Spain,626913,Boulaye Dia,24,Senegal,CF,1421,Stade Reims,France,12000000.00,14000000,FALSE,FALSE
La Liga,s,1050,Villarreal CF,Spain,335225,Manu Morlanes,22,Spain,CM,3302,UD Almería,Spain,4000000.00,5000000,FALSE,FALSE
La Liga,s,1050,Villarreal CF,Spain,80293,Aïssa Mandi,29,Algeria,CB,150,Real Betis Balompié,Spain,0.00,8000000,TRUE,FALSE
La Liga,s,1050,Villarreal CF,Spain,127032,Serge Aurier,28,Cote d'Ivoire,RB,515,Without Club,Without Club,,15000000,FALSE,FALSE
La Liga,s,150,Real Betis Balompié,Spain,113133,Germán Pezzella,30,Argentina,CB,430,ACF Fiorentina,Italy,3500000.00,5000000,FALSE,FALSE
La Liga,s,150,Real Betis Balompié,Spain,341227,Juan Miranda,21,Spain,LB,131,FC Barcelona,Spain,0.00,7000000,TRUE,FALSE
La Liga,s,150,Real Betis Balompié,Spain,135492,Youssouf Sabaly,28,Senegal,RB,40,FC Girondins Bordeaux,France,0.00,6500000,TRUE,FALSE
La Liga,s,150,Real Betis Balompié,Spain,234811,Rui Silva,27,Portugal,GK,16795,Granada CF,Spain,0.00,12000000,TRUE,FALSE
La Liga,s,150,Real Betis Balompié,Spain,122155,Willian José,29,Brazil,CF,681,Real Sociedad,Spain,,18000000,FALSE,TRUE
La Liga,s,150,Real Betis Balompié,Spain,191217,Héctor Bellerín,26,Spain,RB,11,Arsenal FC,England,,20000000,FALSE,TRUE
La Liga,s,150,Real Betis Balompié,Spain,630995,Rodri Sánchez,21,Spain,AM,2865,Betis Deportivo Balompié,Spain,,5000000,FALSE,FALSE
La Liga,s,621,Athletic Bilbao,Spain,527838,Álex Petxa,24,Spain,RB,9899,Real Sociedad B,Spain,0.00,800000,TRUE,FALSE
La Liga,s,621,Athletic Bilbao,Spain,626954,Imanol García de Albéniz,21,Spain,LB,6688,Bilbao Athletic,Spain,,300000,FALSE,FALSE
La Liga,s,621,Athletic Bilbao,Spain,709187,Nico Williams,18,Spain,RW,6688,Bilbao Athletic,Spain,,5000000,FALSE,FALSE
La Liga,s,16795,Granada CF,Spain,367464,Luís Maximiano,22,Portugal,GK,336,Sporting CP,Portugal,4500000.00,6000000,FALSE,FALSE
La Liga,s,16795,Granada CF,Spain,67548,Rubén Rochina,30,Spain,RW,3368,Levante UD,Spain,0.00,2800000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,330684,Luis Abram,25,Peru,CB,1029,Club Atlético Vélez Sarsfield,Argentina,0.00,7000000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,282727,Monchu,21,Spain,CM,131,FC Barcelona,Spain,0.00,4000000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,119235,Carlos Bacca,34,Colombia,CF,1050,Villarreal CF,Spain,0.00,1500000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,554175,Alpha Dionkou,19,Senegal,RB,9265,Manchester City U23,England,0.00,300000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,93935,Sergio Escudero,31,Spain,LB,368,Sevilla FC,Spain,0.00,2500000,TRUE,FALSE
La Liga,s,16795,Granada CF,Spain,388545,Ricard Sánchez,21,Spain,RB,3679,Atlético de Madrid B,Spain,,800000,FALSE,FALSE
La Liga,s,16795,Granada CF,Spain,120443,Santiago Arias,29,Colombia,RB,13,Atlético de Madrid,Spain,,5000000,FALSE,TRUE
La Liga,s,16795,Granada CF,Spain,198638,João Costa,25,Portugal,GK,21550,Recreativo Granada,Spain,,200000,FALSE,FALSE
La Liga,s,940,Celta de Vigo,Spain,341110,Franco Cervi,27,Argentina,LW,294,SL Benfica,Portugal,4000000.00,5000000,FALSE,FALSE
La Liga,s,940,Celta de Vigo,Spain,448628,Javi Galán,26,Spain,LB,5358,SD Huesca,Spain,4000000.00,6000000,FALSE,FALSE
La Liga,s,940,Celta de Vigo,Spain,186399,Thiago Galhardo,32,Brazil,CF,6600,Sport Club Internacional,Brazil,600000.00,2500000,FALSE,TRUE
La Liga,s,940,Celta de Vigo,Spain,144128,Matías Dituro,34,Argentina,GK,3277,CD Universidad Católica,Chile,,1000000,FALSE,TRUE
La Liga,s,940,Celta de Vigo,Spain,131102,Jeison Murillo,29,Colombia,CB,1038,UC Sampdoria,Italy,,7000000,FALSE,TRUE
La Liga,s,940,Celta de Vigo,Spain,609361,Jose Fontán,21,Spain,CB,8733,Celta Vigo B,Spain,,1000000,FALSE,FALSE
La Liga,s,940,Celta de Vigo,Spain,545647,Sergio Carreira,20,Spain,RB,8733,Celta Vigo B,Spain,,1000000,FALSE,FALSE
La Liga,s,2687,Cádiz CF,Spain,520947,Santiago Arzamendia,23,Paraguay,LB,1214,Club Cerro Porteño,Paraguay,2100000.00,3000000,FALSE,FALSE
La Liga,s,2687,Cádiz CF,Spain,454238,Tomás Alarcón,22,Chile,DM,11470,CD O'Higgins,Chile,2000000.00,3000000,FALSE,FALSE
La Liga,s,2687,Cádiz CF,Spain,284342,Jeremías Ledesma,28,Argentina,GK,1418,Club Atlético Rosario Central,Argentina,1800000.00,6000000,FALSE,FALSE
La Liga,s,2687,Cádiz CF,Spain,282406,Álvaro Jiménez,26,Spain,RW,1532,Albacete Balompié,Spain,700000.00,600000,FALSE,FALSE
La Liga,s,2687,Cádiz CF,Spain,155423,Varazdat Haroyan,28,Armenia,CB,22220,FC Astana,Kazakhstan,0.00,1200000,TRUE,FALSE
La Liga,s,2687,Cádiz CF,Spain,278404,Martín Calderón,22,Spain,CM,6767,Real Madrid Castilla,Spain,0.00,300000,TRUE,FALSE
